thumb-index,index-middle,middle-ring,ring-pinky,class
38.24298,12.02574,13.01845,15.66893,fist
35.48119,16.44198,14.06524,14.70979,fist
69.61258,107.41091,15.28564,15.79339,fist
44.10454,12.4622,13.44636,15.1253,fist
46.99203,10.8297,14.12643,16.12381,fist
45.41823,11.62293,14.21175,16.62087,fist
45.37523,9.53972,14.41441,16.14655,fist
45.33843,10.44496,13.22341,15.49591,fist
39.9991,11.15938,13.36847,15.23982,fist
42.16553,12.60712,12.31769,14.97709,fist
42.75998,12.86457,12.4221,15.11097,fist
40.11806,11.78917,12.39665,15.13308,fist
42.35465,12.31462,12.54655,15.05132,fist
41.89314,12.09313,12.56719,15.12464,fist
42.74954,12.33008,12.53403,14.78782,fist
45.21368,9.68213,12.02471,14.53897,fist
44.38566,9.31656,12.52367,15.02687,fist
44.17077,9.19002,12.88776,14.87415,fist
45.30192,9.62066,12.50888,14.43468,fist
46.42754,10.84371,13.00359,14.23819,fist
43.36525,13.76577,12.95244,14.77279,fist
44.39279,16.30281,13.24401,14.06961,fist
25.57167,26.8323,16.68299,17.51205,fist
13.29871,36.22937,15.18203,16.63695,fist
24.09903,36.28377,15.81066,17.01719,fist
48.61646,12.23933,11.83427,14.07634,fist
43.01836,11.98793,13.71727,15.54877,fist
41.0765,13.74401,14.75844,15.99641,fist
42.70391,13.7243,14.46283,16.8413,fist
42.98566,12.83538,14.49658,16.35375,fist
38.78915,12.9263,14.52836,15.7425,fist
41.84628,13.35061,13.12704,15.32577,fist
44.45332,10.99549,11.83754,15.25273,fist
44.56523,9.66995,12.10721,14.90697,fist
43.18132,9.91078,12.99002,15.80836,fist
40.98283,10.0046,12.73116,15.00875,fist
40.72912,11.42654,13.16873,15.8864,fist
39.92242,11.99568,15.29899,15.21228,fist
40.62418,11.62254,14.10066,15.23902,fist
46.13868,9.11851,11.90316,14.85523,fist
46.19037,9.84598,11.2039,14.50519,fist
46.13093,10.04362,11.06582,14.54923,fist
